Building Type,Incident Zip,Borough,Day of Week,Date of Report,Duration of Call (min)
Villa,10221,Manhattan,2,2023-08-01,14
Apartment Complex,10311,Staten Island,4,2023-03-16,41
Private Home,10182,Manhattan,1,2023-01-09,3
Hotel,10464,Bronx,7,2023-09-24,55
Villa,10474,Bronx,7,2023-09-10,27
Villa,10460,Bronx,1,2023-10-16,54
Hotel,10118,Manhattan,1,2023-09-25,16
Private Home,10100,Manhattan,1,2023-12-04,21
Private Home,10472,Bronx,1,2023-06-19,1
Villa,10455,Bronx,2,2023-11-21,7
Villa,11244,Brooklyn,4,2023-10-26,43
Villa,10092,Manhattan,2,2023-08-22,43
Hotel,10129,Manhattan,5,2023-04-14,50
Private Home,10305,Staten Island,7,2023-01-01,31
Apartment Complex,10305,Staten Island,6,2023-01-21,21
Hotel,10251,Manhattan,6,2023-06-10,56
Apartment Complex,10470,Bronx,5,2023-11-17,43
Villa,10462,Bronx,7,2023-10-01,30
Private Home,10304,Staten Island,7,2023-07-16,20
Apartment Complex,10461,Bronx,2,2023-06-20,30
Villa,10453,Bronx,3,2023-02-22,7
Apartment Complex,10304,Staten Island,2,2023-04-25,30
Villa,10302,Staten Island,3,2023-08-09,5
Private Home,11038,Queens,6,2023-01-07,6
Private Home,10307,Staten Island,6,2023-11-04,2
Apartment Complex,11250,Brooklyn,1,2023-12-04,53
Private Home,10309,Staten Island,2,2023-06-13,36
Hotel,10080,Manhattan,1,2023-12-11,28
Private Home,11253,Brooklyn,6,2023-12-09,47
Hotel,11203,Brooklyn,4,2023-01-05,54
Hotel,10208,Manhattan,3,2023-08-09,34
Private Home,11106,Queens,1,2023-11-06,18
Private Home,10021,Manhattan,3,2023-10-04,57
Private Home,11065,Queens,1,2023-09-25,49
Villa,10150,Manhattan,4,2023-09-28,29
Hotel,11215,Brooklyn,3,2023-01-11,59
Villa,10122,Manhattan,6,2023-04-15,34
Villa,10302,Staten Island,5,2023-07-07,12
Hotel,10471,Bronx,5,2023-12-22,6
Hotel,11230,Brooklyn,7,2023-10-29,47
Villa,10470,Bronx,3,2023-02-22,4
Apartment Complex,10469,Bronx,6,2023-04-29,23
Apartment Complex,11106,Queens,2,2023-04-25,22
Private Home,11240,Brooklyn,7,2023-10-29,2
Villa,11011,Queens,2,2023-06-06,41
Private Home,11059,Queens,4,2023-05-25,33
Private Home,11228,Brooklyn,4,2023-09-28,47
Villa,10460,Bronx,7,2023-05-14,37
Private Home,11076,Queens,6,2023-10-14,25
Hotel,11036,Queens,4,2023-03-30,7
Hotel,10015,Manhattan,6,2023-11-04,3
Hotel,11007,Queens,7,2023-12-31,48
Private Home,10305,Staten Island,4,2023-04-27,13
Apartment Complex,11100,Queens,3,2023-04-05,49
Hotel,10463,Bronx,3,2023-11-01,2
Hotel,10470,Bronx,2,2023-01-31,33
Private Home,10464,Bronx,2,2023-05-16,33
Private Home,11206,Brooklyn,4,2023-05-18,31
Villa,11209,Brooklyn,6,2023-01-21,2
Private Home,11094,Queens,5,2023-12-08,6
Private Home,10031,Manhattan,2,2023-06-13,41
Hotel,10076,Manhattan,7,2023-09-17,15
Apartment Complex,10015,Manhattan,6,2023-07-22,50
Apartment Complex,11025,Queens,2,2023-02-21,34
Villa,10452,Bronx,1,2023-08-14,45
Private Home,11246,Brooklyn,7,2023-12-10,13
Villa,11038,Queens,4,2023-08-03,7
Villa,11207,Brooklyn,4,2023-02-23,55
Private Home,11219,Brooklyn,2,2023-10-17,21
Private Home,10075,Manhattan,4,2023-04-20,30
Apartment Complex,11076,Queens,5,2023-02-24,14
Hotel,10082,Manhattan,6,2023-01-21,10
Villa,11006,Queens,7,2023-04-23,28
Hotel,10303,Staten Island,3,2023-06-21,4
Apartment Complex,11204,Brooklyn,2,2023-10-17,60
Villa,10165,Manhattan,1,2023-01-23,47
Apartment Complex,11249,Brooklyn,3,2023-09-20,13
Hotel,10470,Bronx,6,2023-10-14,5
Private Home,11208,Brooklyn,7,2023-10-15,58
Apartment Complex,10309,Staten Island,6,2023-09-02,59
Apartment Complex,10275,Manhattan,5,2023-03-10,21
Apartment Complex,10466,Bronx,2,2023-10-10,10
Apartment Complex,11253,Brooklyn,7,2023-12-03,28
Hotel,10302,Staten Island,2,2023-08-08,37
Private Home,10272,Manhattan,2,2023-04-11,1
Hotel,10463,Bronx,7,2023-11-19,25
Apartment Complex,11087,Queens,5,2023-04-21,3
Hotel,10468,Bronx,5,2023-07-21,43
Hotel,10461,Bronx,7,2023-01-15,4
Apartment Complex,10220,Manhattan,2,2023-07-04,53
Villa,10305,Staten Island,4,2023-06-08,43
Private Home,11075,Queens,3,2023-03-08,12
Private Home,11246,Brooklyn,1,2023-07-17,19
Hotel,11205,Brooklyn,4,2023-03-16,29
Private Home,11096,Queens,2,2023-01-24,7
Private Home,10088,Manhattan,4,2023-10-19,56
Hotel,10461,Bronx,4,2023-07-27,23
Hotel,11231,Brooklyn,1,2023-07-31,9
Villa,10462,Bronx,1,2023-01-16,36
Hotel,11100,Queens,4,2023-04-13,60
Hotel,10280,Manhattan,6,2023-07-01,10
Private Home,10311,Staten Island,5,2023-02-24,29
Private Home,11011,Queens,3,2023-02-22,39
Hotel,10454,Bronx,2,2023-08-29,3
Villa,10083,Manhattan,6,2023-12-09,58
Private Home,11103,Queens,1,2023-07-10,12
Private Home,10305,Staten Island,3,2023-10-11,45
Private Home,10460,Bronx,4,2023-03-30,58
Hotel,10472,Bronx,5,2023-12-29,6
Villa,10312,Staten Island,7,2023-12-10,48
Apartment Complex,10301,Staten Island,1,2023-06-19,11
Private Home,10302,Staten Island,1,2023-02-27,57
Private Home,10277,Manhattan,7,2023-06-25,47
Private Home,10311,Staten Island,4,2023-12-21,29
Private Home,10121,Manhattan,5,2023-06-09,47
Villa,11035,Queens,5,2023-03-03,10
Private Home,11202,Brooklyn,7,2023-06-11,37
Apartment Complex,10268,Manhattan,7,2023-07-16,15
Apartment Complex,10243,Manhattan,2,2023-08-29,14
Private Home,10121,Manhattan,3,2023-10-25,10
Private Home,10305,Staten Island,7,2023-09-03,59
Villa,10304,Staten Island,2,2023-01-03,42
Apartment Complex,10006,Manhattan,4,2023-02-02,45
Apartment Complex,10457,Bronx,6,2023-05-06,21
Private Home,10474,Bronx,7,2023-07-30,48
Villa,10205,Manhattan,3,2023-09-20,49
Villa,11086,Queens,3,2023-05-17,25
Hotel,11231,Brooklyn,1,2023-09-04,12
Private Home,10302,Staten Island,7,2023-05-07,42
Apartment Complex,11082,Queens,6,2023-07-08,28
Villa,11228,Brooklyn,4,2023-01-26,37
Apartment Complex,10460,Bronx,3,2023-02-22,50
Villa,10187,Manhattan,3,2023-04-19,37
Private Home,11014,Queens,7,2023-01-15,4
Hotel,11249,Brooklyn,5,2023-12-15,36
Apartment Complex,10188,Manhattan,2,2023-06-20,14
Villa,10056,Manhattan,1,2023-01-30,17
Apartment Complex,10466,Bronx,5,2023-01-27,35
Villa,10150,Manhattan,1,2023-05-22,37
Villa,10466,Bronx,2,2023-06-20,26
Private Home,11242,Brooklyn,2,2023-02-07,18
Private Home,10311,Staten Island,6,2023-12-09,23
Villa,10469,Bronx,5,2023-11-24,37
Apartment Complex,10302,Staten Island,7,2023-10-22,24
Apartment Complex,11063,Queens,2,2023-09-12,20
Hotel,11071,Queens,7,2023-05-21,55
Hotel,11214,Brooklyn,4,2023-08-17,37
Private Home,10301,Staten Island,6,2023-01-21,37
Private Home,11237,Brooklyn,7,2023-12-17,16
Private Home,10451,Bronx,5,2023-09-15,34
Villa,10305,Staten Island,3,2023-11-15,3
Hotel,11248,Brooklyn,5,2023-04-07,20
Hotel,10156,Manhattan,1,2023-03-20,1
Hotel,11205,Brooklyn,3,2023-12-20,47
Villa,10458,Bronx,3,2023-01-04,13
Private Home,10313,Staten Island,6,2023-06-03,15
Villa,10116,Manhattan,6,2023-08-19,59
Villa,10454,Bronx,5,2023-06-09,44
Hotel,10471,Bronx,3,2023-02-22,48
Villa,10452,Bronx,7,2023-01-01,42
Hotel,10302,Staten Island,3,2023-11-22,36
Villa,11078,Queens,2,2023-11-28,44
Villa,10313,Staten Island,5,2023-01-06,15
Apartment Complex,10307,Staten Island,2,2023-10-24,16
Hotel,11202,Brooklyn,3,2023-01-11,48
Villa,10232,Manhattan,4,2023-08-03,57
Hotel,10007,Manhattan,6,2023-09-09,60
Hotel,10119,Manhattan,2,2023-12-05,41
Hotel,11253,Brooklyn,1,2023-11-06,43
Villa,10467,Bronx,1,2023-07-10,30
Private Home,10311,Staten Island,1,2023-06-26,35
Villa,10131,Manhattan,2,2023-09-05,35
Hotel,10462,Bronx,7,2023-03-19,9
Hotel,10463,Bronx,7,2023-03-26,21
Hotel,10061,Manhattan,1,2023-06-12,10
Villa,11211,Brooklyn,1,2023-11-06,11
Villa,10304,Staten Island,4,2023-03-02,24
Hotel,10453,Bronx,3,2023-01-25,36
Private Home,10312,Staten Island,7,2023-01-08,36
Private Home,11094,Queens,3,2023-03-08,6
Hotel,10107,Manhattan,2,2023-08-22,56
Private Home,10046,Manhattan,1,2023-12-11,16
Villa,10303,Staten Island,6,2023-12-09,48
Private Home,10191,Manhattan,2,2023-10-03,51
Private Home,10308,Staten Island,4,2023-03-16,7
Apartment Complex,10460,Bronx,1,2023-03-13,48
Private Home,11209,Brooklyn,2,2023-10-10,23
Villa,10469,Bronx,2,2023-03-28,37
Private Home,11058,Queens,4,2023-01-19,2
Hotel,10087,Manhattan,6,2023-12-23,36
Private Home,10463,Bronx,7,2023-04-30,14
Private Home,10305,Staten Island,6,2023-01-07,31
Hotel,11229,Brooklyn,2,2023-11-28,16
Apartment Complex,10465,Bronx,7,2023-12-10,48
Private Home,10457,Bronx,5,2023-11-24,28
Apartment Complex,10310,Staten Island,5,2023-09-01,46
